source_entity_ref,trace_id,query,response,total_latency_ms,token_count,voice_score,policy_pass,timestamp,steps_json
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t000,Analyze the imaging findings from today's scan,Recommended follow-up includes lab work in 2 weeks...,304,1638,0.924,true,2026-05-03T03:38:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 66, ""status"": ""success""}, {""tool"": ""Drug Interaction DB"", ""latency_ms"": 186, ""status"": ""success""}, {""tool"": ""Clinical Guidelines"", ""latency_ms"": 52, ""status"": ""success""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t001,Analyze the imaging findings from today's scan,The latest results indicate normal ranges for most markers...,601,1875,0.92,true,2026-05-03T04:05:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 601, ""status"": ""error""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t002,Generate a discharge summary draft,Prior authorization approved for the requested procedure...,1836,540,0.95,true,2026-05-03T01:52:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 665, ""status"": ""success""}, {""tool"": ""Drug Interaction DB"", ""latency_ms"": 231, ""status"": ""success""}, {""tool"": ""Clinical Guidelines"", ""latency_ms"": 763, ""status"": ""success""}, {""tool"": ""Lab Results API"", ""latency_ms"": 177, ""status"": ""success""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t003,What clinical trials is this patient eligible for?,"Based on the analysis, the patient shows moderate risk...",1427,1947,0.907,true,2026-05-02T23:05:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 785, ""status"": ""success""}, {""tool"": ""Drug Interaction DB"", ""latency_ms"": 555, ""status"": ""success""}, {""tool"": ""Clinical Guidelines"", ""latency_ms"": 87, ""status"": ""success""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t004,Check for drug interactions with current medications,The latest results indicate normal ranges for most markers...,1744,1704,0.901,true,2026-05-02T23:52:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 163, ""status"": ""success""}, {""tool"": ""Drug Interaction DB"", ""latency_ms"": 632, ""status"": ""success""}, {""tool"": ""Clinical Guidelines"", ""latency_ms"": 224, ""status"": ""success""}, {""tool"": ""Lab Results API"", ""latency_ms"": 725, ""status"": ""success""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t005,Generate a discharge summary draft,"Imaging analysis complete, no significant abnormalities detected...",915,1919,0.884,true,2026-05-02T22:16:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 585, ""status"": ""success""}, {""tool"": ""Drug Interaction DB"", ""latency_ms"": 330, ""status"": ""success""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t006,Analyze the imaging findings from today's scan,Prior authorization approved for the requested procedure...,380,1455,0.944,true,2026-05-02T20:27:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 380, ""status"": ""success""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t007,Analyze the imaging findings from today's scan,Prior authorization approved for the requested procedure...,788,1360,0.919,true,2026-05-03T04:48:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 788, ""status"": ""success""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t008,What clinical trials is this patient eligible for?,Found 3 matching trials based on inclusion criteria...,1027,652,0.941,true,2026-05-02T20:25:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 392, ""status"": ""success""}, {""tool"": ""Drug Interaction DB"", ""latency_ms"": 635, ""status"": ""success""}]"
agent://clinical-decision-support-agen,trace-agent-synth-001-d000-t009,Review the prior authorization status,Draft summary generated with key findings and recommendations...,755,1782,0.919,true,2026-05-02T22:21:00Z,"[{""tool"": ""EHR Lookup"", ""latency_ms"": 114, ""status"": ""success""}, {""tool"": ""Drug Interaction DB"", ""latency_ms"": 149, ""status"": ""error""}, {""tool"": ""Clinical Guidelines"", ""latency_ms"": 492, ""status"": ""success""}]"
